rank,date,artist,title,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,uri,duration_ms,time_signature,bx_speechiness,bx_acousticness,lg_liveness,pc1,pc2,cluster
65,2017-01-01,Michael Jackson,Billie Jean,"269,981",0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0359,0.847,117.046,spotify:track:5ChkMS8OtdzJeqyybCc9R5,293827.0,4.0,-4.148356742966976,-2.504219922509853,-3.3270179834879037,-1.4474072605731025,-2.1871842327712323,4
66,2017-01-01,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"265,739",0.72,0.763,9.0,-4.0680000000000005,0.0,0.0523,0.406,0.18,0.742,101.965,spotify:track:5knuzwU65gJK7IF5yJsuaW,251088.0,4.0,-3.723834106128544,-0.8134922205358467,-1.7147984280919266,-0.9944803922548024,0.08205786793694289,4
67,2017-01-01,J. Cole,Immortal,"264,865",0.7440000000000001,0.43,3.0,-10.604000000000001,0.0,0.309,0.455,0.126,0.266,92.039,spotify:track:6AGON2BGdPmPMJGiiNuuwl,201667.0,4.0,-1.28579509518632,-0.7197943723909329,-2.071473372030659,1.722010623100827,-0.41995845611340854,3
68,2017-01-01,Twenty One Pilots,Ride,"264,707",0.645,0.713,6.0,-5.355,1.0,0.0393,0.00835,0.113,0.5660000000000001,74.98899999999999,spotify:track:2Z8WuEywRWYTKe1NybPQEW,214507.0,4.0,-4.181269156093867,-2.891805507718667,-2.1803674602697964,-0.7611659316205568,-0.10501380674475727,4
69,2017-01-01,Marvin Gaye,Ain't No Mountain High Enough,"260,834",0.6629999999999999,0.6,7.0,-10.87,1.0,0.032,0.43,0.184,0.8,129.991,spotify:track:7tqhbajSfrz2F7E1Z75ASX,151667.0,4.0,-4.522698165432687,-0.7665743122043134,-1.6928195213731514,1.0540111007913833,0.1312599198906701,3
70,2017-01-01,Lil Uzi Vert,Money Longer,"259,985",0.795,0.568,5.0,-7.817,0.0,0.142,0.0541,0.10800000000000001,0.478,136.173,spotify:track:0B8QzDH7YWih85V5SEMnyJ,198944.0,4.0,-2.272480313064107,-2.1202843530948052,-2.2256240518579173,0.1655916528964916,-0.7271691069096963,5
71,2017-01-01,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","258,637",0.502,0.7859999999999999,9.0,-4.378,0.0,0.317,0.255,0.65,0.7390000000000001,169.021,spotify:track:4dASQiO1Eoo3RJvt74FtXB,243491.0,4.0,-1.2552969682815247,-1.1712895401103782,-0.4307829160924542,-1.197696390121276,1.7914599305724264,2
72,2017-01-01,J. Cole,No Role Modelz,"253,285",0.696,0.521,10.0,-8.465,0.0,0.332,0.302,0.0565,0.45799999999999996,100.0,spotify:track:62vpWI1CHwFy7tMIcSStl8,292987.0,4.0,-1.2004328878579913,-1.0455895926481538,-2.873514640829742,0.8736627802375028,-1.1458797092780293,5
73,2017-01-01,Future,Used to This (feat. Drake),"249,166",0.618,0.727,3.0,-7.224,0.0,0.20800000000000002,0.0312,0.196,0.401,164.99200000000002,spotify:track:3V8sM5OOG6YfDuDLa2IIYJ,180520.0,4.0,-1.7735031390284985,-2.3831656799835548,-1.6296406197516198,-0.3656873507244956,0.43153576628176676,1
74,2017-01-01,Shakira,Chantaje (feat. Maluma),"244,295",0.852,0.773,8.0,-2.9210000000000003,0.0,0.0776,0.187,0.159,0.907,102.03399999999999,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,195840.0,4.0,-3.1240369757241107,-1.3893393991002294,-1.8388510767619055,-1.6392563701762601,-0.5120451196734582,4
