artist,total_days,median_danceability,median_energy,median_loudness,median_speechiness,median_acousticness,median_liveness,median_valence,median_tempo,cluster
NAV,1291.0,0.7735000000000001,0.5794999999999999,-6.9125000000000005,0.197,0.1895,0.1125,0.307,142.00900000000001,8
Linkin Park,125.0,0.5675,0.8635,-4.913,0.053700000000000005,0.01435,0.14250000000000002,0.449,110.0065,1
Lana Del Rey,223.0,0.4525,0.411,-9.625,0.0402,0.614,0.113,0.1935,115.416,0
Dua Lipa,1013.0,0.6864999999999999,0.7150000000000001,-4.585,0.0759,0.0364,0.14450000000000002,0.6355,114.0025,1
Zedd,1090.0,0.693,0.657,-5.025,0.047,0.271,0.112,0.54,102.05,8
Jason Derulo,369.0,0.696,0.7090000000000001,-4.547,0.109,0.075,0.097,0.62,98.064,1
Brett Young,333.0,0.603,0.536,-7.2970000000000015,0.0297,0.396,0.0999,0.406,76.025,7
Lorde,306.0,0.594,0.4370000000000001,-9.977,0.0764,0.219,0.107,0.253,106.996,7
YFN Lucci,246.0,0.752,0.6495,-4.696,0.0847,0.129,0.12390000000000001,0.598,155.95100000000002,1
Gryffin,51.0,0.5665,0.7775000000000001,-4.1995000000000005,0.0469,0.1185,0.1825,0.4825,130.548,3
Mike WiLL Made-It,163.0,0.741,0.635,-5.132999999999999,0.165,0.172,0.177,0.292,141.982,3
JP Cooper,82.0,0.614,0.615,-6.7,0.0444,0.054000000000000006,0.0921,0.374,95.941,8
Luke Combs,1833.0,0.5379999999999999,0.813,-5.372000000000001,0.0416,0.0397,0.226,0.623,129.999,9
The Notorious B.I.G.,4.0,0.889,0.6970000000000001,-4.67,0.274,0.4320000000000001,0.204,0.758,93.941,3
A$AP Ferg,471.0,0.7785,0.8035,-4.814,0.2705,0.0328,0.2165,0.40549999999999997,166.03650000000002,9
Brett Eldredge,70.0,0.568,0.5720000000000001,-7.63,0.0366,0.621,0.13699999999999998,0.334,88.865,7
Mustard,879.0,0.8425,0.552,-6.4595,0.10025,0.1815,0.10255,0.278,100.495,8
Stargate,1.0,0.3720000000000001,0.919,-1.68,0.3,0.0987,0.234,0.419,182.785,9
