rank,date,artist,title,max_streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
82,2017-01-01,Jon Bellion,All Time Low,570205,0.617,0.5670000000000001,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.24600000000001,spotify:track:0SuLAslEMFZAXf0SwY7syi,217603.0,4.0
83,2017-01-01,Lil Yachty,One Night,232348,0.764,0.475,0.0,-12.618,1.0,0.114,0.345,0.0,0.14,0.34,129.974,spotify:track:40yJGQyEaBbIkXpwMFkXip,243270.0,4.0
84,2017-01-01,M.I.A.,Paper Planes,227569,0.447,0.848,2.0,-6.175,1.0,0.222,0.033,7.45e-05,0.722,0.485,172.247,spotify:track:1kusepF3AacIEtUTYrw4GV,203760.0,4.0
85,2017-01-01,Twenty One Pilots,Stressed Out,281957,0.7340000000000001,0.637,4.0,-5.6770000000000005,0.0,0.141,0.0462,2.2899999999999998e-05,0.0602,0.648,169.977,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,202333.0,4.0
86,2017-01-01,David Guetta,Titanium (feat. Sia),226512,0.604,0.787,0.0,-3.674,0.0,0.10300000000000001,0.0679,0.15,0.127,0.301,126.06200000000001,spotify:track:0lHAMNU8RGiIObScrsRgmP,245040.0,4.0
87,2017-01-01,Queen,Bohemian Rhapsody - Remastered 2011,537813,0.392,0.402,0.0,-9.961,0.0,0.0536,0.28800000000000003,0.0,0.243,0.228,143.88299999999998,spotify:track:7tFiyTwD0nx5a1eklYtX2J,354320.0,4.0
88,2017-01-01,Post Malone,White Iverson,393624,0.675,0.562,7.0,-7.678,1.0,0.0352,0.233,0.0,0.0816,0.309,130.09799999999998,spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,256533.0,4.0
89,2017-01-01,The Vamps,All Night,382157,0.54,0.8029999999999999,8.0,-5.194,1.0,0.0358,0.00403,0.0,0.33,0.501,144.997,spotify:track:0dXNQ8dckG4eYfEtq9zcva,197640.0,4.0
90,2017-01-01,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),273117,0.49,0.625,10.0,-7.247999999999999,1.0,0.185,0.49700000000000005,0.0,0.11800000000000001,0.748,78.762,spotify:track:5qYp1Wf3gh0lGWdIS5lIrX,215670.0,5.0
91,2017-01-01,G-Eazy,"Me, Myself & I",218501,0.757,0.672,0.0,-6.524,0.0,0.0955,0.0186,0.0,0.158,0.382,111.99600000000001,spotify:track:40YcuQysJ0KlGQTeGUosTC,251467.0,4.0
92,2017-01-01,gnash,"i hate u, i love u (feat. olivia o'brien)",250722,0.49200000000000005,0.275,6.0,-13.4,0.0,0.3,0.687,0.0,0.10099999999999999,0.18,92.6,spotify:track:7vRriwrloYVaoAe3a9wJHe,251034.0,4.0
93,2017-01-01,Kodak Black,Too Many Years,308940,0.665,0.706,8.0,-6.859,0.0,0.0958,0.0237,0.0,0.11199999999999999,0.632,147.067,spotify:track:7KyTq7H5f3Oavmuo9TX6QK,196336.0,4.0
94,2017-01-01,Rihanna,Love On The Brain,537783,0.509,0.637,4.0,-4.83,0.0,0.0471,0.0717,1.0800000000000002e-05,0.0789,0.37799999999999995,172.00599999999997,spotify:track:5oO3drDxtziYU2H1X23ZIp,224000.0,3.0
95,2017-01-01,J. Cole,Change,265844,0.74,0.523,11.0,-10.753,0.0,0.233,0.6659999999999999,0.0014199999999999998,0.0968,0.235,97.06299999999999,spotify:track:3pjUyVbFmM96tYhSaKJwTt,331480.0,4.0
96,2017-01-01,Bryson Tiller,Don't,276791,0.765,0.35600000000000004,11.0,-5.556,0.0,0.196,0.222,0.0,0.0963,0.19,97.001,spotify:track:3pXF1nA74528Edde4of9CC,198293.0,4.0
97,2017-01-01,Ugly God,Water,328210,0.816,0.245,0.0,-15.617,0.0,0.414,0.616,0.000813,0.127,0.187,140.04,spotify:track:7EoSDrwBPUBeBEORrpvgko,138936.0,4.0
98,2017-01-01,Daryl Hall & John Oates,Rich Girl,508847,0.573,0.6829999999999999,5.0,-6.644,1.0,0.17600000000000002,0.461,0.0,0.0935,0.8170000000000001,169.519,spotify:track:0qRR9d89hIS0MHRkQ0ejxX,142787.0,4.0
99,2017-01-01,Lil Uzi Vert,Erase Your Social,291826,0.705,0.609,3.0,-5.728,1.0,0.0729,0.6940000000000001,0.0,0.23399999999999999,0.718,140.058,spotify:track:4uhvMW7ly7tJil31YYscAN,199993.0,4.0
100,2017-01-01,Flume,Never Be Like You,236465,0.444,0.557,0.0,-5.476,1.0,0.0602,0.45299999999999996,0.0,0.152,0.29600000000000004,115.05799999999999,spotify:track:5WI2ltQIdwgzf1SNE76JyR,234910.0,4.0
101,2017-01-01,Nevada,The Mack,272236,0.711,0.882,0.0,-4.276,1.0,0.0576,0.0626,0.0,0.226,0.56,106.01700000000001,spotify:track:2fUZ3aMp8amSaV0mp8s6rQ,167038.0,4.0
102,2017-01-01,Kiiara,Gold,205831,0.6,0.41200000000000003,8.0,-9.343,1.0,0.344,0.615,0.0025,0.134,0.408,113.04899999999999,spotify:track:6ZSO7kPn8IMJFymyticbJO,225882.0,5.0
103,2017-01-01,Bryson Tiller,Exchange,266712,0.53,0.433,6.0,-10.597999999999999,1.0,0.185,0.10800000000000001,0.0,0.135,0.27399999999999997,160.14,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,194613.0,4.0
104,2017-01-01,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,390030,0.6409999999999999,0.922,2.0,-4.457,1.0,0.0786,0.0291,0.0,0.0862,0.847,146.078,spotify:track:3bidbhpOYeV4knp8AIu8Xn,258343.0,4.0
105,2017-01-01,Daryl Hall & John Oates,You Make My Dreams,385848,0.7509999999999999,0.501,5.0,-12.151,1.0,0.0552,0.23399999999999999,0.11199999999999999,0.0467,0.902,167.058,spotify:track:4o6BgsqLIBViaGVbx5rbRk,190627.0,4.0
106,2017-01-01,The Weeknd,Die For You,265020,0.5820000000000001,0.525,1.0,-7.162999999999999,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,260253.0,4.0
107,2017-01-01,PnB Rock,Selfish,369261,0.638,0.6,1.0,-5.84,0.0,0.0438,0.114,0.0,0.187,0.0399,101.98100000000001,spotify:track:2xbI8Vmyv3TkpTdywpPyNw,245604.0,4.0
108,2017-01-01,AJR,Weak,488705,0.67,0.643,5.0,-4.553,1.0,0.0465,0.11800000000000001,0.0,0.192,0.703,123.979,spotify:track:5DZwnLxHjWTZaz9jOpRhxb,201159.0,4.0
109,2017-01-01,PARTYNEXTDOOR,Come and See Me (feat. Drake),266307,0.7170000000000001,0.34700000000000003,11.0,-10.265,0.0,0.0636,0.0511,2.43e-06,0.087,0.0589,84.98700000000001,spotify:track:1wZqJM5FGDEl3FjHDxDyQd,235477.0,4.0
110,2017-01-01,The Beatles,Twist And Shout - Remastered,198226,0.48200000000000004,0.8490000000000001,2.0,-9.198,1.0,0.0452,0.6409999999999999,7.74e-06,0.0414,0.937,124.631,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,155227.0,4.0
111,2017-01-01,Noah Cyrus,Make Me (Cry),339970,0.588,0.47100000000000003,0.0,-7.287000000000001,1.0,0.0577,0.5920000000000001,0.00146,0.0733,0.209,152.881,spotify:track:2BrzlUj1u1CtvaJDGIKpsP,242081.0,4.0
112,2017-01-01,Kodak Black,No Flockin',250717,0.943,0.595,5.0,-8.372,0.0,0.191,0.0673,0.0,0.0839,0.815,117.53200000000001,spotify:track:34oWbFBfGEElvgO0a5c9V4,165291.0,4.0
113,2017-01-01,Kanye West,Father Stretch My Hands Pt. 1,206013,0.7240000000000001,0.573,7.0,-4.113,1.0,0.0549,0.11800000000000001,0.0,0.5379999999999999,0.43799999999999994,113.088,spotify:track:4KW1lqgSr8TKrvBII0Brf8,135920.0,4.0
